"","Mcav_na_K11_na_exp_na_salmon","Mcav_na_K12_na_control_na_salmon","Mcav_na_K13_na_exp_na_salmon","Mcav_na_K14_na_control_na_salmon","Mcav_na_K15_na_exp_na_salmon","Mcav_na_K16_na_control_na_salmon","Mcav_na_K17_na_D1_na_salmon","Mcav_na_K18_na_D1_na_salmon","Mcav_na_K19_na_D1_na_salmon","Mcav_na_K22_na_D1control_na_salmon","Mcav_na_K23_na_D1_na_salmon","Mcav_na_K25_na_D1_na_salmon","Mcav_na_K27_na_D4control_na_salmon","Mcav_na_K29_na_D1_na_salmon","Mcav_na_K31_na_D1_na_salmon","Mcav_na_K33_na_D1control_na_salmon","Mcav_na_K34_na_D1control_na_salmon","Mcav_na_K36_na_D1_na_salmon","Mcav_na_K38_na_D2control_na_salmon","Mcav_na_K39_na_D2control_na_salmon","Mcav_na_K40_na_D1_na_salmon","Mcav_na_K42_na_D4control_na_salmon","Mcav_na_K43_na_D3control_na_salmon","Mcav_na_K44_na_D1_na_salmon","Mcav_na_K45_na_D1_na_salmon","Mcav_na_K47_na_D4control_na_salmon","Mcav_na_K49_na_D1_na_salmon","Mcav_na_K50_na_D1control_na_salmon","Mcav_na_K51_na_D4control_na_salmon"
"Mcavernosa02513-RA",4.407036,1.083336,0.896543,0,0,0,0,0.749522,0,0.113057,0,0,12.98191,0,1.756444,0,0,4.319164,3.155627,0,0.699404,0,0,0,2.368109,1.159017,7.764782,0,0.706903
"Mcavernosa02515-RA",0,6.524521,9.035702,0,0,0,0,39.45679,0,4.666569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02516-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02517-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02518-RA",0,0,4.609854,0,0,0,0,0,17.05739,0,0,0,0,0,9.159566,0,0,0,0,0,0,0,0,0,0,2.500091,0,0,0
"Mcavernosa02519-RA",0,0,5.291679,0,0,0,0,0,12.11385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02520-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02521-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02523-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02525-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02527-RA",0,40.92245,21.87372,0,0,0,0,26.0502,32.82787,20.53978,0,0,0.934142,0,0,42.50051,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02530-RA",0,3.914713,5.421421,0,0,0,0,0,6.629672,4.355464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02533-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02535-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02537-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02538-RA",182.2993,165.4444,328.3192,609.7141,133.164,0,0,51.75095,151.364,243.9174,0,0,310.9416,33.08202,15.24733,240.7844,0,0,89.65488,299.7332,6.189724,30.02906,251.1315,0,7.806431,250.2979,17.17958,0,683.3941
"Mcavernosa02539-RA",0,78.01338,8.793909,9.694892,18.29436,0,0,0,1.536253,6.488133,0,0,0,15.78083,7.273303,47.73375,0,0,0,0,0,0,0,0,0,0.47759,0,0,0
"Mcavernosa02542-RA",0,5.309968,4.902458,0,0,0,0,21.40788,11.9901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02543-RA",95.77227,119.15,162.3606,185.4472,106.2783,456.7401,295.8124,6.995677,70.52634,61.22622,172.0148,0,107.1172,0,0,28.53335,0,209.2712,6.817229,59.39547,0,54.80081,112.3276,2.430723,0,34.41039,0,0,65.17558
"Mcavernosa02544-RA",0,75.14991,4.336411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.67959,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02545-RA",1.996471,10.0799,10.23696,0,2.258709,0,0,9.143671,5.121175,18.50439,0,0,9.617976,17.53539,0,6.630116,0,0,0,0,0,0,54.81178,0,0,3.184139,0,0,15.34909
"Mcavernosa02547-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02549-RA",0,4.57962,2.11408,0,10.26203,0,0,0,0,0,0,0,0,116.1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02550-RA",7.195386,78.18521,3.827989,8.440374,60.83257,56.08246,0,3.581985,15.38082,77.95026,0,0,92.3109,83.00873,0,85.71133,24.21239,0,0,0,78.40213,24.94184,36.80953,0,0,94.3843,3.567297,27.33588,203.2369
"Mcavernosa02551-RA",4.412202,17.05551,5.302424,14.87993,20.27897,51.4126,0,6.314848,4.715749,8.464406,0,0,0,36.33114,27.90805,21.17752,0,0,0,0,0,0,48.66992,0,0,9.895706,0,112.87,0
"Mcavernosa02553-RA",0,2.611994,1.808654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02556-RA",0,0,0,0,0,0,0,0,116.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02557-RA",0.720045,14.76882,13.32074,4.856628,0,0,0,4.809209,11.54373,9.750634,1.126213,0,20.3004,43.4795,0,13.07692,0,0,0,0,0,1.793955,0,122.5408,0,2.751344,0,0,25.94898
"Mcavernosa02558-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02559-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02562-RA",0,0,3.420313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.339647,0,0,0,0
"Mcavernosa02564-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.994966
"Mcavernosa02566-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02567-RA",100.5572,47.14346,31.80707,0,121.2143,0,0,18.27553,14.33003,75.50678,0,0,29.35957,0,67.84469,17.88975,0,194.3825,0,0,255.746,9.54412,0,0,4.962227,13.36474,0,0,3.681403
"Mcavernosa02568-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02570-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02571-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02572-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02573-RA",0,1.986447,9.169991,0,0,0,0,0,5.046152,6.156701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02574-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02575-RA",0,0,0,0,0,0,0,30.51836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02576-RA",32.28736,60.0579,42.57676,0,0,0,0,25.03586,39.95738,38.86454,0,0,0,111.9419,0,98.75863,0,0,0,5.122363,0,0,0,0,0,40.68561,0,0,0
"Mcavernosa02577-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02578-RA",0,0,0,0,0,1749.884,0,4.069614,0,0,0,0,212.9151,0,0,0,0,0,0,0,0,0,0,0,0,60.66954,0,35.07128,0
"Mcavernosa02579-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02580-RA",0,0,1.919585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02581-RA",0,5.014021,5.78653,0,0,0,0,0,0,13.14942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13432,0
"Mcavernosa02582-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02584-RA",0,0,3.276985,0,0,0,0,0,0,11.28285,310.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02585-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02587-RA",0,2.245623,1.243971,0,0,0,0,0,0.760605,2.355686,0,0,0,0,0,22.15608,0,0,0,0,0,0,0,0,0,3.310392,0,0,0
"Mcavernosa02588-RA",0,18.56382,8.569575,0,0,0,0,0,0,0,0,0,99.30075,0,0,40.70155,0,0,0,0,0,0,0,0,0,0,0,0,9.422638
"Mcavernosa02591-RA",0,0,2.22862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02592-RA",0,0,1.994818,0,0,0,0,0,0,5.298385,3.059857,0,0,0,0,0,0,0,0,1.474251,0,0,2.397744,0,0,6.500215,0,0,0
"Mcavernosa02593-RA",0,0,4.78543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02594-RA",0.579736,10.24451,10.80949,0,0,0,0,0,0,18.84146,0,0,0,25.45965,0,42.11493,0,0,0,83.88079,0,17.33259,0,0,0,40.45171,0,0,72.42741
"Mcavernosa02595-RA",0,6.824335,2.100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.586979,0,0,0
